what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276083858
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335276085356
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276096673
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276099685
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335276101003
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335276102370
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276105610
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276112544
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1335276114953
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1335276114973
started,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1335276114988
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276115986
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1335276143728
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1335276143772
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1335276143780
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1335276143786
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1335276143831
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1335276143833
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276155317
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276162362
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276196061
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276200924
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276219205
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276310662
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276316875
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276339690
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276342334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276353149
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276367311
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1335276378312
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276399262
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276401637
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335276402223
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335276621188
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276672064
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276682546
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335276820217
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335276832438
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335276851484
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335276863327
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.TaskList",1335276864905
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.TaskList",1335276864927
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335276873548
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335276881564
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335276891644
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335276912191
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.TaskList",1335276919424
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335276923491
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335276931671
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335276935264
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335276937252
executed,command,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.edit.text.add.description",1335276979154
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1335276982341
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276987860
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276992018
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335276998787
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335277014235
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335277014292
